[00:00:00 --> 00:00:02]  Здравствуйте, дорогие друзья!
[01:13:45 --> 01:13:48]  Начит камера набрала температуру 68.
[01:13:48 --> 01:13:50]  Нам это не страшно.
[01:13:50 --> 01:13:52]  Пусть будет лучше больше.
[01:13:52 --> 01:13:54]  А влажность начелая расти.
[01:13:54 --> 01:13:58]  У нас было 17 уже 90 и она продолжает расти.
[01:13:58 --> 01:14:01]  Потому что мы прикрыли заслонку.
[01:14:01 --> 01:14:06]  Но влажность до 30 процентов на сообщении пугает прикопчения.
[01:14:06 --> 01:14:11]  Если она у нас пойдет дальше, мы уже тогда начнем с этим бород.
[01:14:13 --> 01:14:16]  Все, процесс пошел.
[01:14:16 --> 01:14:23]  Как че не пошло, но нам надо время вот сделаю так и сделаем запустить.
[01:14:23 --> 01:14:27]  Чтобы мы понимали сколько времени у нас пошло.
[01:14:27 --> 01:14:30]  То есть мы обновили время.
[01:14:30 --> 01:14:35]  Как че не пошло, нам нужно на этом шаге прокопти 30 минут.
[01:14:35 --> 01:14:39]  После этого мы посмотрим, как у нас получился цвет.
[01:14:39 --> 01:14:42]  И, возможно, мы докапте чуть-чуть еще.
[01:14:42 --> 01:14:44]  А может быть мы оставим так.
[01:14:44 --> 01:14:48]  Зависим, если от того, как мы хотим получить темнее или себе.
[01:14:48 --> 01:14:51]  Пожность чуть-чуть растет. Как че не идет.
[01:14:51 --> 01:14:54]  Потом заглянем. Увидим сколько там дыма.
[01:15:05 --> 01:15:09]  Вот здесь видно, какого цвета должно быть тлени.
[01:15:09 --> 01:15:12]  Чем на бордово.
[01:15:12 --> 01:15:17]  Но это мы сейчас крышку при открыли, поэтому по ярче начинает гореть.
[01:15:17 --> 01:15:19]  Видно.
[01:15:19 --> 01:15:24]  Ну что, смотрим сколько там дыма.
[01:15:24 --> 01:15:30]  Мы так, чтобы не задохнуться чуть-чуть, а смотрите видите, что пошло.
[01:15:30 --> 01:15:34]  Я быстро откроюсь сразу закрою.
[01:15:35 --> 01:15:38]  Все, спасайся.
[01:15:41 --> 01:15:45]  И оттуда рванула, потому что мы открыли.
[01:15:50 --> 01:15:54]  Значит, копчение у нас продолжается.
[01:15:54 --> 01:15:58]  Мы прокоптили 20 минут при 60 градусов.
[01:15:58 --> 01:16:02]  И влажность у нас возрослода 40%.
[01:16:02 --> 01:16:07]  Поэтому мы добавили еще 10 минут при 70 минут.
[01:16:09 --> 01:16:11]  Видно, да. Вот мы уже 2 минуты коптим.
[01:16:11 --> 01:16:15]  Сейчас мы 10 минут добьемся при 70 минут.
[01:16:15 --> 01:16:20]  И я думаю, что после этого у нас получится идеальный цвет и мы начинаем варку.
[01:16:20 --> 01:16:23]  Здесь у нас все бордовенькое. Все хорошо.
[01:16:23 --> 01:16:25]  Все продолжаем.
[01:16:32 --> 01:16:37]  Так, уже 13 минуты пошла. Я думаю, что мы заканчиваем.
[01:16:37 --> 01:16:39]  Все должно у нас быть красиво.
[01:16:39 --> 01:16:43]  Сейчас мы выгоним дым, немного, чтобы не повалил у нас в комнату.
[01:16:43 --> 01:16:47]  Я открою, посмотрим, какой мы получили цвет.
[01:16:47 --> 01:16:50]  Итак, мы убрали дымы и генерators.
[01:16:50 --> 01:16:53]  Но у нас там остужается гасятся.
[01:16:53 --> 01:16:57]  Значит, можем открывать.
[01:16:58 --> 01:17:03]  Мы останавливаем пока программу, с кидываемым, вытяжем.
[01:17:03 --> 01:17:07]  Итак, открываем, смотрим, как у нас закоптилось.
[01:17:07 --> 01:17:12]  Все, все мясо, колбаски, шикарный получился цвет.
[01:17:12 --> 01:17:15]  Не перекопченый, не тёмный.
[01:17:15 --> 01:17:18]  То есть не нужно делать из этого какие-то уголки.
[01:17:18 --> 01:17:22]  Вот вся поверхность равномерная.
[01:17:22 --> 01:17:26]  Сейчас еще мы начнем варить и при варке у нас еще цвет.
[01:17:26 --> 01:17:29]  Чуть-чуть станет коплотнее.
[01:17:31 --> 01:17:34]  В чем плюс дыма в этой камере.
[01:17:34 --> 01:17:37]  У нас дым подается снизу.
[01:17:37 --> 01:17:42]  Поэтому поверхность мяса и колбаски всех изделий.
[01:17:42 --> 01:17:45]  В отфе не забрызгивается, остается чистый.
[01:17:45 --> 01:17:48]  Так, закрываем включаем варто.
[01:17:49 --> 01:17:54]  Значит, мы выставляем температуру камеры 85.
[01:17:54 --> 01:17:59]  Температуру продукта оставляем 70.
[01:17:59 --> 01:18:04]  Влажность дойдет сама и, в время, нам не важно.
[01:18:04 --> 01:18:07]  Окей.
[01:18:07 --> 01:18:13]  Все, а влажность, влажность влажность влажность.
[01:18:14 --> 01:18:17]  В общем, позиции онируются 95.
[01:18:17 --> 01:18:21]  Ну мы ставим цельство и увидим какая будет влажность.
[01:18:21 --> 01:18:22]  Все.
[01:18:22 --> 01:18:26]  В этот момент у нас включается подача в пара.
[01:18:26 --> 01:18:29]  И сейчас влажность, нас начнет интенсивной расти.
[01:18:29 --> 01:18:32]  Все заслонки закрываем.
[01:18:32 --> 01:18:34]  Варим.
[01:18:34 --> 01:18:39]  Вот у нас две точки зелененькие.
[01:18:39 --> 01:18:43]  Когда вторая зелененькая, это значит подача воды включилась.
[01:18:43 --> 01:18:45]  Сейчас красненькая, отключилась.
[01:18:45 --> 01:18:48]  То есть подача воды включается имбульсна.
[01:18:48 --> 01:18:52]  И смотрите, как с какой скоростью у нас влажность.
[01:18:52 --> 01:18:57]  Поэтому сейчас процесс варки пойдет достаточно быстро.
[01:18:57 --> 01:19:00]  И мы уже с поразаком, чем можно задавать.
[01:19:01 --> 01:19:05]  И мы уже с поразаком, чем можно заглянуть.
[01:19:08 --> 01:19:10]  Все пошел пар.
[01:19:16 --> 01:19:18]  Все, мы закончили.
[01:19:18 --> 01:19:24]  Звонойчик у нас извинил температура внутри продукта 70 градусов.
[01:19:25 --> 01:19:28]  Поэтому у нас все готовы.
[01:19:28 --> 01:19:30]  Вытаскиваем.
[01:19:31 --> 01:19:33]  Обкрываем.
[01:19:33 --> 01:19:37]  Еще скажу момент про охлаждение,
[01:19:37 --> 01:19:39]  но сначала откроем.
[01:19:39 --> 01:19:41]  Посмотрим, что он осуучилась.
[01:19:45 --> 01:19:49]  Все это салболее насыщенным после варки.
[01:19:49 --> 01:19:51]  Не очень темная.
[01:19:51 --> 01:19:54]  Но нам не нужен сильный темный цвет.
[01:19:54 --> 01:19:57]  Перекабть, вытягивать мы не будем.
[01:19:57 --> 01:20:00]  Удых, помой туда, достаточно красиво.
[01:20:00 --> 01:20:03]  Теперь нам это нужно интенсивно охлаждение.
[01:20:03 --> 01:20:08]  Сейчас, когда вытойте, мы с камеры, я расскажу про это по подробнее.
[01:20:08 --> 01:20:11]  Пожна все, все отлично.
[01:20:11 --> 01:20:14]  У нас все приготовилась.
[01:20:14 --> 01:20:16]  Выкадываем.
[01:20:17 --> 01:20:20]  А сейчас мне надо перчатки.
[01:20:20 --> 01:20:22]  Мы не перчатки горячие.
[01:20:22 --> 01:20:26]  Прома очень горячие, поэтому я возьму перчатки.
[01:20:32 --> 01:20:35]  Ура, вот то, что у нас получилось.
[01:20:46 --> 01:21:04]  Зачем следующие, очень важные этап.
[01:21:04 --> 01:21:05]  Меня слышно сейчас.
[01:21:05 --> 01:21:07]  В том, что камера шумит.
[01:21:07 --> 01:21:09]  Там вот она, осужается.
[01:21:09 --> 01:21:13]  Очень важный этап.
[01:21:13 --> 01:21:18]  Нам нужно максимально быстро продукт, а студить.
[01:21:18 --> 01:21:19]  Для чего?
[01:21:19 --> 01:21:24]  Для того, чтобы он не потерял из лишних количества влаги.
[01:21:24 --> 01:21:28]  И для того, чтобы мы максимально быстро могли убрать в холодильник.
[01:21:28 --> 01:21:34]  В этой камере у нас не установлены функции душирования.
[01:21:34 --> 01:21:37]  Это более простой вариант.
[01:21:37 --> 01:21:42]  В автоматической камере установлены функции автоматического душирования.
[01:21:42 --> 01:21:46]  Это истам стоит парсумки, которые подают холодную воду.
[01:21:46 --> 01:21:51]  И у нас продукция охлаждается уже внутри камеры.
[01:21:51 --> 01:21:54]  И мы достаем сразу же охлажденный продукт.
[01:21:54 --> 01:21:59]  Значит, сейчас мы отсюда это все на верно уберем.
[01:21:59 --> 01:22:00]  Теперь ложим.
[01:22:00 --> 01:22:02]  Просила.
[01:22:04 --> 01:22:06]  Ну что у нас все готово?
[01:22:06 --> 01:22:08]  Снимаем кусочки.
[01:22:08 --> 01:22:10]  А посеточки.
[01:22:12 --> 01:22:19]  ПОДРАЯ МУЗЫКА
[01:22:19 --> 01:22:21]  Самое вкусное.
[01:22:21 --> 01:22:22]  Вот это.
[01:22:22 --> 01:22:24]  Самое аппетитное косточка.
[01:22:24 --> 01:22:28]  Вот, кстати, грудинка, которая не увязанная.
[01:22:28 --> 01:22:32]  И грудинка, которая увязана и верёчками.
[01:22:32 --> 01:22:34]  Вот в чём разница.
[01:22:34 --> 01:22:42]  Так, это мы выкладываем сюда же.
[01:22:42 --> 01:22:49]  Вытой не получилось даже прям как-то всего много, а вот это самое любимое,
[01:22:49 --> 01:22:50]  арешки.
[01:22:50 --> 01:22:53]  Вот это вот любят все и всегда.
[01:22:53 --> 01:22:58]  Вот так, колбаски.
[01:22:58 --> 01:23:14]  Ну что, как вам результат и всего тут полдня работы?
[01:23:14 --> 01:23:17]  Значит так, что мы делаем дальше.
[01:23:17 --> 01:23:23]  Мы это все сейчас охладим, как следует и уберем в холодильник.
[01:23:23 --> 01:23:29]  Но мы будем по-настоящему думаем, что после завтра, чтобы два дня
[01:23:29 --> 01:23:32]  нам нужно дать, чтобы мясо созрела обязательно.
[01:23:32 --> 01:23:39]  Потому что когда мы коптим, у нас дым оседает только на поверхности.
[01:23:39 --> 01:23:45]  Вот она становится такая красивая, сочная, все дымная корочка.
[01:23:45 --> 01:23:49]  Но дым должен перераспределиться по всему продукту.
[01:23:49 --> 01:23:58]  А эти датцентра тогда вкус будет полный, насыщенный и такой созревший.
[01:23:58 --> 01:24:05]  Для этого нам нужно сутки о лучшее двое, чем дольше зреет, тем вкуснее будет мясо.
[01:24:05 --> 01:24:12]  Мы сейчас один кусочек для интереса разрежим в горячем виде, но пробовать все равно
[01:24:12 --> 01:24:15]  мы будем потом позже, когда все созреет хорошо.
[01:24:15 --> 01:24:18]  Просто посмотрим, что там внутри.
[01:24:18 --> 01:24:19]  Режим орех.
[01:24:19 --> 01:24:22]  Вот сейчас крупным планом нужно.
[01:24:28 --> 01:24:37]  А по-настоящему, что оно сейчас все такое сочное, а когда оно полежит, созреет, оно смоналититься
[01:24:37 --> 01:24:42]  и будет плотная, такое оболденная мясо.
[01:24:42 --> 01:24:45]  Пока что есть еще некоторые рыхлинга.
[01:24:45 --> 01:24:47]  Красиво.
[01:24:47 --> 01:24:51]  Ну что, все, оставляем это все в холодильнике.
[01:24:51 --> 01:24:56]  На сегодняшний день мы заканчиваем, пробуем через два дня.
[01:24:56 --> 01:25:04]  Двадцать раз, два раза.
[01:25:04 --> 01:25:06]  Здравствуйте, дорогие друзья.
[01:25:06 --> 01:25:10]  Мы с вами вновь встречаемся через два дня, когда мы шат.
[01:25:10 --> 01:25:14]  Продукция, после общения в пылежелах холодильники, мы ходим по пробовать
[01:25:14 --> 01:25:19]  ее именно после того, когда она немножко полежала и аромат созревала.
[01:25:19 --> 01:25:23]  И ароматы мы равномерно распределился по продукту.
[01:25:23 --> 01:25:28]  И сейчас мы можем почувствовать именно тот продукт, именно тот вкус, который
[01:25:28 --> 01:25:32]  почувствует наш клеен, который будет покупать эту колбасу.
[01:25:32 --> 01:25:35]  Мы продукт коптилет для себя, руки мы помыли.
[01:25:35 --> 01:25:40]  Косынки мы не одеваем, потому что, собственно, мы его сейчас уже пробуем.
[01:25:40 --> 01:25:42]  Это не продаем.
[01:25:42 --> 01:25:43]  Да, мы это не продаем.
[01:25:43 --> 01:25:50]  Вот от с вами сейчас поделимся в печатлении, вот пробую у нее наших продукт.
[01:25:50 --> 01:25:53]  У нас здесь сейчас краковская колбаска, да?
[01:25:53 --> 01:25:54]  Это расскажите, что у нас еще здесь.
[01:25:54 --> 01:25:56]  Кроковская колбаса.
[01:25:56 --> 01:26:02]  У нас наши цельно мышечные деликаты, здесь я вот ножом.
[01:26:02 --> 01:26:07]  Шея, карейка, вот два варианта, карейки и мясные орешки.
[01:26:07 --> 01:26:12]  Вот один орешек, который мы разрезали с вами сразу после приготовления
[01:26:12 --> 01:26:13]  в горячем виде.
[01:26:13 --> 01:26:18]  И сейчас мы покажем, как это будет выглядеть, уже освастывшим
[01:26:18 --> 01:26:20]  виде из-за зревшая мяса.
[01:26:20 --> 01:26:25]  Дальше у нас грудинка тоже все что-то мы гадут.
[01:26:25 --> 01:26:26]  Разные кусочки.
[01:26:26 --> 01:26:28]  Разные, сделки мы видим.
[01:26:28 --> 01:26:31]  Вокрупно вкусная, я им кусок непосредственно шпагать.
[01:26:31 --> 01:26:33]  Вот так, он выглядит.
[01:26:34 --> 01:26:38]  И ребрышки, ну это совсем для любителей.
[01:26:38 --> 01:26:42]  Вернее, вернее, вернее, вернее, вернее, это все.
[01:26:42 --> 01:26:46]  Да, и для супа, и к пиву можно куда угодно.
[01:26:46 --> 01:26:50]  У нас все получилось, у нас получился как по цвету.
[01:26:50 --> 01:26:51]  Вацвету я оценивается.
[01:26:51 --> 01:26:54]  Значит, мы, вот мы еще вот такая штущка.
[01:26:54 --> 01:26:56]  Это тоже краховская, это просто вариант на тут.
[01:26:56 --> 01:26:58]  Другой, по суокке.
[01:26:58 --> 01:27:02]  Да, значит, по цвету мы специально сделаны немножко
[01:27:02 --> 01:27:04]  свет по цветлее, по светлее.
[01:27:04 --> 01:27:07]  То есть, вы видите, на других наших роликах, мы набрут сильнее
[01:27:07 --> 01:27:10]  коопсим, потому что, как к нему, основным для клиентов,
[01:27:10 --> 01:27:12]  и клиенты зачастую, просто более темный цвет.
[01:27:12 --> 01:27:17]  Здесь мы делали для себя и параматики, не ароматодума, вполне
[01:27:17 --> 01:27:18]  хватает.
[01:27:18 --> 01:27:24]  И все-таки избыточно дымодовать, не всегда необходимо,
[01:27:24 --> 01:27:26]  особенно если вы для себя это делаете.
[01:27:26 --> 01:27:29]  Потому что все-таки дым является консервантом, мы знаем,
[01:27:29 --> 01:27:32]  чем меньше консервантов продукт, и тем он легче переваривает
[01:27:32 --> 01:27:33]  с нашим организм.
[01:27:33 --> 01:27:38]  Сейчас будем собственно пробовать и делиться с вами нашим
[01:27:38 --> 01:27:39]  печенье.
[01:27:39 --> 01:27:43]  Так, начинаем мы с кроковской, как и правильно резко.
[01:27:43 --> 01:27:44]  На этот под углом.
[01:27:44 --> 01:27:45]  Да, вот так можно.
[01:27:45 --> 01:27:49]  Что красиво вас сидел, вы посмотрите.
[01:27:49 --> 01:27:53]  Все, у нас в вас среди.
[01:27:53 --> 01:27:55]  Все плотное консистенция.
[01:27:55 --> 01:27:56]  И вот эти мои.
[01:27:56 --> 01:27:59]  В пике кубики наши очень хорошо видны.
[01:27:59 --> 01:28:01]  Тубики шпика.
[01:28:01 --> 01:28:04]  Потом она в процессе подсушки, еще если она чуть-чуть подольше
[01:28:04 --> 01:28:06]  полежит, она подсохнет.
[01:28:06 --> 01:28:10]  И эти кубики начнут еще немного так вот выпирать.
[01:28:10 --> 01:28:12]  Заболочку, очень красиво.
[01:28:13 --> 01:28:19]  Несняем перчик.
[01:28:24 --> 01:28:25]  Красота какая-то.
[01:28:25 --> 01:28:26]  И все застыло.
[01:28:26 --> 01:28:31]  Если мы разрезали ее по сразу после готовки, это
[01:28:31 --> 01:28:32]  было бы слое.
[01:28:32 --> 01:28:33]  Да, это особо весь вытек.
[01:28:33 --> 01:28:35]  Это было бы не очень эстетично.
[01:28:35 --> 01:28:38]  А сейчас, как мы видим, все это застыло очень красивую
[01:28:38 --> 01:28:41]  у нас структуру колбасы на среди получилась.
[01:28:41 --> 01:28:44]  Если мы еще галядин, чуть-чуть добавили, она была бы
[01:28:44 --> 01:28:45]  по темнее.
[01:28:45 --> 01:28:48]  Ну, и было бы вообще идеально.
[01:28:48 --> 01:28:50]  Ну, вот, вот, вот.
[01:28:50 --> 01:28:56]  Посмотреть, как выглядит на среде.
[01:28:56 --> 01:28:59]  Наша каракавская от с теми фишками, которая добавила
[01:28:59 --> 01:29:00]  потерина.
[01:29:00 --> 01:29:06]  А шпик вот красиво, вручную, да, нарезается.
[01:29:06 --> 01:29:07]  Ну, конечно.
[01:29:07 --> 01:29:10]  И для этого тоже есть специальные предпособления, если
[01:29:10 --> 01:29:13]  речь идет уже об больших рабьемых.
[01:29:13 --> 01:29:14]  Ну, попробуем.
[01:29:14 --> 01:29:15]  Да.
[01:29:15 --> 01:29:19]  Я можно и той не так.
[01:29:19 --> 01:29:21]  Как вам аромат?
[01:29:21 --> 01:29:23]  Честно, и чек.
[01:29:23 --> 01:29:24]  Как дежнее.
[01:29:24 --> 01:29:25]  Нежное.
[01:29:25 --> 01:29:29]  Нужно легкий аромат общения.
[01:29:29 --> 01:29:31]  Нежный вкус.
[01:29:31 --> 01:29:34]  Хорошо, что по суинке и пошли.
[01:29:34 --> 01:29:35]  Креполю.
[01:29:35 --> 01:29:36]  Вот.
[01:29:36 --> 01:29:37]  Вот.
[01:29:37 --> 01:29:39]  Но стараемся поменьше соль веклась.
[01:29:39 --> 01:29:43]  Нет, у них я не куплю.
[01:29:43 --> 01:29:45]  Нет, у них я не куплю.
[01:29:45 --> 01:29:47]  Нет, я люблю твои.
[01:29:47 --> 01:29:50]  Я про шпик.
[01:29:50 --> 01:29:51]  Ну, так.
[01:29:51 --> 01:29:52]  Вкратце.
[01:29:52 --> 01:29:57]  Есть такой аппарат называется шпикереска.
[01:29:57 --> 01:30:00]  Она, конечно, стоит денег.
[01:30:00 --> 01:30:01]  Вот.
[01:30:01 --> 01:30:04]  Но, если вы делаете объемы, и вам важно, какой
[01:30:04 --> 01:30:08]  у вас там рисунок, это можно изобретать все, что угодно.
[01:30:08 --> 01:30:10]  То это вещь очень достойно.
[01:30:10 --> 01:30:14]  Мне был в гостях на заводе рюле немецкий.
[01:30:14 --> 01:30:16]  Производительный, как хорошо пригарезан, они вакуны
[01:30:16 --> 01:30:20]  массажуры производят инъекторы по тук-кувле.
[01:30:20 --> 01:30:23]  Нежпикарецкий, как раз, они подбрасаны.
[01:30:23 --> 01:30:25]  Посмотрим на этот процесс очень интересовым огромной
[01:30:25 --> 01:30:28]  нажитой, такие квидели.
[01:30:29 --> 01:30:35]  Там они разные бывают.
[01:30:35 --> 01:30:41]  Вот, в отличии от пятницы, когда это было в горячем виде,
[01:30:41 --> 01:30:44]  это был достаточно резкий запах дыма.
[01:30:44 --> 01:30:49]  Не такой, конечно, когда прям из бочки там одна смала.
[01:30:49 --> 01:30:50]  Но все равно.
[01:30:50 --> 01:30:54]  А сейчас дым весь перередрился в центр продукта.
[01:30:54 --> 01:30:57]  И, наверное, селёхте такой ромат?
[01:30:57 --> 01:31:01]  Да, и в итоге ромат легкие копчения и роматы
[01:31:01 --> 01:31:02]  не наколбасы.
[01:31:02 --> 01:31:03]  И чесначка.
[01:31:03 --> 01:31:06]  Потому что краковская, это чеснок, все-таки.
[01:31:06 --> 01:31:08]  Еще обратите внимание, которые, которые на дело
[01:31:08 --> 01:31:11]  красивые раскладки, если у вас свой магазин, то
[01:31:11 --> 01:31:14]  вот такой красивый можно краково скороскладывать.
[01:31:14 --> 01:31:16]  Но вот так вот интересно.
[01:31:16 --> 01:31:21]  Так, что мы дальше пробуем.
[01:31:21 --> 01:31:23]  Или нам не остановиться никак.
[01:31:23 --> 01:31:25]  Да, конечно.
[01:31:25 --> 01:31:27]  На кровская ложь.
[01:31:27 --> 01:31:28]  Так.
[01:31:28 --> 01:31:29]  Орех.
[01:31:29 --> 01:31:34]  Ну, арех по побым.
[01:31:34 --> 01:31:38]  Мы уже разрезали, можно его вот так теперь.
[01:31:38 --> 01:31:43]  Еще раз он разрезал.
[01:31:43 --> 01:31:44]  Вот так.
[01:31:44 --> 01:31:48]  Я там все, что он разрезал.
[01:31:49 --> 01:31:51]  Здесь тоже красивые у нас резья.
[01:31:51 --> 01:31:53]  Он также через два дня сохранился в исочность,
[01:31:53 --> 01:31:55]  как мы видим.
[01:31:55 --> 01:31:56]  И не еду.
[01:31:56 --> 01:31:58]  Я думаю, лапатка сына.
[01:31:58 --> 01:32:01]  А вот такая красивая, действительно, у нас резья.
[01:32:01 --> 01:32:05]  Мы его инекировали всего на 10%.
[01:32:05 --> 01:32:10]  Для того, чтобы он был не слишком ободнелный такой,
[01:32:10 --> 01:32:14]  чтобы просто с компенсирует термические потери при варке.
[01:32:14 --> 01:32:15]  И чтобы доставить соль туда.
[01:32:15 --> 01:32:17]  Самое, что соль.
[01:32:17 --> 01:32:18]  Да.
[01:32:18 --> 01:32:21]  Быстро его, а он намерный его просолить.
[01:32:21 --> 01:32:24]  Мы, соответственно, у просен потерь на,
[01:32:24 --> 01:32:26]  наоритель нас получился.
[01:32:26 --> 01:32:28]  Мы потеряли всего 1%.
[01:32:28 --> 01:32:29]  Приду.
[01:32:29 --> 01:32:31]  Проците все готовки.
[01:32:33 --> 01:32:35]  Мясо плотное.
[01:32:35 --> 01:32:36]  Живц хорошо.
[01:32:36 --> 01:32:38]  Никой из бедащей соль не чувствует.
[01:32:38 --> 01:32:40]  Соль в отчая прекрасно.
[01:32:40 --> 01:32:43]  Сорома конкомпчения 5-тик и унежный.
[01:32:43 --> 01:32:45]  Мы специальные униделаем избыточным.
[01:32:45 --> 01:32:47]  Потому что избыточные ароматка общения
[01:32:47 --> 01:32:50]  всегда перебивает вкусового продукта.
[01:32:50 --> 01:32:54]  Здесь, он скачивает, что на мясо не спецепт.
[01:32:54 --> 01:32:57]  И своих клиентов тоже можно привычать,
[01:32:57 --> 01:32:59]  что не обязательно, чтобы вам было вкусно.
[01:32:59 --> 01:33:03]  Это должен быть скопчённо в черный цвет.
[01:33:03 --> 01:33:07]  Да, и он на перца там.
[01:33:08 --> 01:33:11]  Соль у меня, самая вполне не itsвой.
[01:33:11 --> 01:33:12]  Интересный вкус.
[01:33:12 --> 01:33:14]  Интересный запах.
[01:33:15 --> 01:33:17]  Не, не можно сладаться.
[01:33:17 --> 01:33:19]  Не обязательно носил на 30-тик.
[01:33:21 --> 01:33:22]  Ну а, а еще что-то не попробуем.
[01:33:22 --> 01:33:24]  Что хотите?
[01:33:24 --> 01:33:25]  Это хорошо с бедом.
[01:33:25 --> 01:33:26]  Да?
[01:33:26 --> 01:33:27]  Бедом.
[01:33:27 --> 01:33:28]  Можно и на праздник.
[01:33:28 --> 01:33:29]  Ага.
[01:33:29 --> 01:33:32]  Потому что все красивые и шею также.
[01:33:32 --> 01:33:33]  Ну, и тебе ваше попробуем.
[01:33:35 --> 01:33:37]  Это самое вкусное.
[01:33:38 --> 01:33:40]  Мы подъяваем.
[01:33:44 --> 01:33:49]  А сколько мы говорим, не хотели?
[01:33:49 --> 01:33:51]  Мы коптили 40 минут.
[01:33:51 --> 01:33:53]  Ну, легкий дым там было такое.
[01:33:53 --> 01:33:55]  Нет, ну дым был хороший плотный.
[01:33:55 --> 01:33:58]  Дымы, сколько может дать дымы генератор,
[01:33:58 --> 01:34:01]  вот этот на щипе, был хороший дым.
[01:34:01 --> 01:34:02]  Просто мы...
[01:34:02 --> 01:34:04]  Просто, мы разолосно с арками на минуту тут,
[01:34:04 --> 01:34:05]  тебе не и должна быть.
[01:34:05 --> 01:34:07]  Возможно, мы подсушить должны были посерние.
[01:34:08 --> 01:34:14]  Возможно, мы подсушить должны были посерние.
[01:34:14 --> 01:34:18]  И плюс еще свини на все-таки посветлее как-то.
[01:34:20 --> 01:34:21]  Знаем, тоже.
[01:34:21 --> 01:34:22]  Вот все.
[01:34:24 --> 01:34:25]  Не просто.
[01:34:26 --> 01:34:27]  Ну, цвет без красителей.
[01:34:27 --> 01:34:30]  Натуральный, просто вот не тридтое,
[01:34:30 --> 01:34:32]  сработала только для...
[01:34:35 --> 01:34:36]  Фиксирует.
[01:34:36 --> 01:34:37]  А краску.
[01:34:37 --> 01:34:39]  У нас же мясо, сна изначально.
[01:34:39 --> 01:34:40]  Красного цвета.
[01:34:40 --> 01:34:42]  И чтобы нам сохранить этот красный цвет,
[01:34:42 --> 01:34:45]  в общем-то только для этого мы добавляем нетридную соль.
[01:34:45 --> 01:34:47]  Ну и сикасательно цвета.
[01:34:47 --> 01:34:51]  Микр биология биофими, это там тоже присутствует.
[01:34:51 --> 01:34:53]  Мы не будем на этом останавливаться.
[01:34:53 --> 01:34:56]  Соответственно, если мы добавим просту соль,
[01:34:56 --> 01:34:57]  то мясо у нас станет терм.
[01:34:57 --> 01:34:59]  Как бы мы сварили в кастрюле.
[01:34:59 --> 01:35:00]  Ну, это все.
[01:35:00 --> 01:35:03]  То есть мы не добавляем никаких красителей.
[01:35:03 --> 01:35:06]  Цвет у нас только фиксирует нетридные соль.
[01:35:06 --> 01:35:07]  Три.
[01:35:08 --> 01:35:09]  Так.
[01:35:09 --> 01:35:11]  Ткосточки очень вкусные.
[01:35:11 --> 01:35:12]  Да, да, обладем.
[01:35:12 --> 01:35:14]  Так я предлагаю вунинечку, чего выкровать.
[01:35:14 --> 01:35:15]  Это корманапан.
[01:35:15 --> 01:35:16]  Сейчас эту уберу.
[01:35:16 --> 01:35:18]  Ну, карбанат, да, наш курке.
[01:35:18 --> 01:35:20]  Корманапаринка.
[01:35:23 --> 01:35:25]  Должна быть водопомидельной.
[01:35:25 --> 01:35:26]  История такая вот стресса.
[01:35:26 --> 01:35:27]  Да.
[01:35:27 --> 01:35:28]  Кусочек.
[01:35:28 --> 01:35:30]  Это для тех, кто любит.
[01:35:30 --> 01:35:32]  Нежерная мяса.
[01:35:32 --> 01:35:35]  И тут есть прослочка жира в сиронах.
[01:35:36 --> 01:35:37]  Угу.
[01:35:38 --> 01:35:41]  Классная, когда он натуральная мяса, и на пахнет мясом.
[01:35:41 --> 01:35:44]  То есть вот это вот тоже может получать довольно.
[01:35:45 --> 01:35:47]  Конечно.
[01:35:47 --> 01:35:49]  Живит, хорошо.
[01:35:56 --> 01:35:59]  Я даже не могу так много пробовать.
[01:35:59 --> 01:36:04]  Мне уже все хочется, но не очень столько с есть.
[01:36:04 --> 01:36:06]  Можно еще чуть-чуть.
[01:36:06 --> 01:36:07]  Нерзя.
[01:36:13 --> 01:36:15]  Кстати, достаточно сочный.
[01:36:15 --> 01:36:18]  Хотя все это всегда ошибочное мнение, что карбанат,
[01:36:18 --> 01:36:19]  это сухое мясо.
[01:36:19 --> 01:36:21]  Ну, оно очень сочное.
[01:36:21 --> 01:36:25]  Не просто с карбанатом карбанат, и их в копеи уратисят сухое мясо.
[01:36:25 --> 01:36:27]  Если не правильно, и не вверх.
[01:36:27 --> 01:36:30]  Если его ввалить, принято достаточно важности.
[01:36:30 --> 01:36:32]  Даже шкурку живет.
[01:36:32 --> 01:36:36]  Должен много спрашиваю.
[01:36:36 --> 01:36:38]  В общем, отмече профессиональных кактилин.
[01:36:38 --> 01:36:41]  Вот бытовые капсили не сделают сочные продукты.
[01:36:41 --> 01:36:44]  Потому что там нет проварки пара.
[01:36:44 --> 01:36:45]  Да.
[01:36:45 --> 01:36:46]  Будет только процесс запекания.
[01:36:46 --> 01:36:49]  Вот такие деликатные вещи, как куриная грудка.
[01:36:49 --> 01:36:50]  Карбанат.
[01:36:50 --> 01:36:53]  Она всегда будет терять в лазов.
[01:36:53 --> 01:36:56]  В лазов, сочность, будет получаться как у деревянные.
[01:36:56 --> 01:37:01]  Поэтому для домашних деревянских каптили используют только суперженные.
[01:37:01 --> 01:37:02]  Какие-то кусти.
[01:37:02 --> 01:37:04]  Это можно шея.
