[00:00:00 --> 00:00:06]  Здравствуйте, друзья!
[00:59:40 --> 00:59:44]  на натуральных спецах, на натуральных составах.
[00:59:44 --> 00:59:47]  Не применяя росторы, которые уберивают,
[00:59:47 --> 00:59:51]  которые уберивают, что союкоргинаны, мелкую фракцию желатина.
[00:59:51 --> 00:59:54]  Ну, мелкую фракцию желатины, это не самое плохое решение,
[00:59:54 --> 00:59:55]  как мы сломим, мы сломим.
[00:59:55 --> 00:59:58]  Это по крайней мере бжжевотной белок, в животном белке.
[00:59:58 --> 01:00:00]  Здесь такая вот красивая история,
[01:00:00 --> 01:00:01]  это очевидно с языки.
[01:00:01 --> 01:00:02]  Это цивенные языки.
[01:00:02 --> 01:00:03]  Это цивенные языки.
[01:00:03 --> 01:00:07]  А они вот прям в натуральную, они готовые,
[01:00:07 --> 01:00:11]  сохраняют, прям на натуральную, или чину не раздуают их, как вы видите.
[01:00:12 --> 01:00:15]  У них существенные термопотерии, если есть на идут такие,
[01:00:15 --> 01:00:17]  для производства существованные.
[01:00:17 --> 01:00:20]  Но тем не менее это позволяет сохранить качество продукта.
[01:00:20 --> 01:00:23]  И мне еще понравилось вот эта колбасаеда.
[01:00:23 --> 01:00:24]  А для краковская?
[01:00:24 --> 01:00:27]  Да, это по краковски она у нас называется,
[01:00:27 --> 01:00:28]  потому что она безговидена.
[01:00:28 --> 01:00:30]  То есть, она чисто...
[01:00:30 --> 01:00:31]  Чистоцвена.
[01:00:33 --> 01:00:34]  Ясно.
[01:00:34 --> 01:00:35]  Тоже очень красиво.
[01:00:35 --> 01:00:37]  И еще я смотрю тоже интересная вакуумная поковка,
[01:00:37 --> 01:00:38]  это вакуум на подложке.
[01:00:38 --> 01:00:40]  Это вакуумная подложки, такой классический,
[01:00:40 --> 01:00:42]  которому все привыкли.
[01:00:42 --> 01:00:44]  Очень удобно брать собой,
[01:00:44 --> 01:00:45]  покиется на сечкой.
[01:00:45 --> 01:00:49]  Обычно производство производящие термусаточные пакеты,
[01:00:49 --> 01:00:50]  производят и обычные.
[01:00:50 --> 01:00:52]  Здесь это маленькая на сечка,
[01:00:52 --> 01:00:54]  который легко поровать.
[01:00:54 --> 01:00:55]  Так вот и покушать.
[01:00:55 --> 01:00:56]  Принескалюденная на собой берут.
[01:00:56 --> 01:00:59]  Да, в сумму с тамскую помещают их хорошо.
[01:00:59 --> 01:01:01]  Да, класс.
[01:01:01 --> 01:01:04]  Во-первых, человечество глас всегда замечают 7 метр.
[01:01:04 --> 01:01:07]  То есть, должно быть максимально ровно
[01:01:07 --> 01:01:08]  и все выложено.
[01:01:08 --> 01:01:11]  Мы у себя в магазине можем позволить себе
[01:01:11 --> 01:01:16]  чтобы снизу видеть этот дно металлическая.
[01:01:16 --> 01:01:20]  Но если это не супермаркет,
[01:01:20 --> 01:01:22]  если это ярморка,
[01:01:22 --> 01:01:24]  то есть, здесь должны стоять либо корзины,
[01:01:24 --> 01:01:26]  как в соседней ветрии.
[01:01:26 --> 01:01:30]  Потому что там немного продукция на то же специфическое.
[01:01:30 --> 01:01:32]  Это сриральная продукция.
[01:01:32 --> 01:01:34]  Здесь закрывается полностью все дно.
[01:01:34 --> 01:01:36]  Витрины либо тканью.
[01:01:36 --> 01:01:38]  Сейчас это такой тренд,
[01:01:38 --> 01:01:40]  мешковиновые закрывать.
[01:01:40 --> 01:01:41]  Либо ставятся корзины,
[01:01:41 --> 01:01:44]  чтобы это статичность смотрелась со стороны покупателя.
[01:01:44 --> 01:01:46]  Крафтовые, получается вид.
[01:01:46 --> 01:01:50]  Ну и конечно привлекаются все хвитрины максимально полные.
[01:01:50 --> 01:01:53]  Но так как у нас маленькое производство,
[01:01:53 --> 01:01:55]  мы следим очень за сроком годности.
[01:01:55 --> 01:01:57]  Мы здесь много не производим.
[01:01:57 --> 01:01:58]  Мы много не выкладываем.
[01:01:58 --> 01:02:00]  Мы все дно все подучаем.
[01:02:00 --> 01:02:01]  Свежая продукция.
[01:02:01 --> 01:02:04]  Что из этого самое ходаоевна получается?
[01:02:04 --> 01:02:06]  Какая продукция самое ходаоевая?
[01:02:06 --> 01:02:10]  С учетом того, что мы уже порезали свою на минкатуру.
[01:02:10 --> 01:02:13]  Мы из 50-20 активных из Кою.
[01:02:13 --> 01:02:16]  Здесь все самое ходаоевое.
[01:02:16 --> 01:02:17]  Оставность.
[01:02:17 --> 01:02:19]  И мы сейчас будем эту тоже изучать.
[01:02:19 --> 01:02:22]  Может быть какие-то позиции выбирать, какие-то добавляют?
[01:02:22 --> 01:02:25]  Да, вы берем какие-то две самые ходаоевые позиции.
[01:02:25 --> 01:02:28]  Которых, про которые расскажем более подробная.
[01:02:28 --> 01:02:29]  Давай, это деревенская.
[01:02:30 --> 01:02:32]  И это корейка Петербурга.
[01:02:32 --> 01:02:35]  Это то, что продает очень хорошо в любом регионе.
[01:02:35 --> 01:02:37]  И в Петербурге и в обсколской области.
[01:02:37 --> 01:02:40]  Давай подробника, подоговорим, что хорошо.
[01:02:40 --> 01:02:42]  Мы взяли три продукта.
[01:02:42 --> 01:02:45]  Первый у нас условно продукт халельный.
[01:02:45 --> 01:02:49]  Это минкинский колбасский или колбасский гриль.
[01:02:49 --> 01:02:50]  Изговядины.
[01:02:50 --> 01:02:51]  Изговядины.
[01:02:51 --> 01:02:53]  Взакупил нас сколько?
[01:02:53 --> 01:02:54]  Сколько?
[01:02:54 --> 01:02:55]  В среднем стоимость.
[01:02:55 --> 01:02:57]  Говядины для колбаса.
[01:02:57 --> 01:02:59]  Это 600 рублей.
[01:02:59 --> 01:03:00]  Плюс работа.
[01:03:00 --> 01:03:01]  Плюс петции.
[01:03:01 --> 01:03:03]  Произоцина себе стоимость рублей.
[01:03:03 --> 01:03:04]  150.
[01:03:04 --> 01:03:06]  Цена в розницу.
[01:03:06 --> 01:03:09]  Если покупать у нас здесь в магазине,
[01:03:09 --> 01:03:10]  1600 рублей.
[01:03:10 --> 01:03:12]  Такие цифры.
[01:03:12 --> 01:03:14]  И абсолютно понятно.
[01:03:14 --> 01:03:16]  На продукты изговядины.
[01:03:16 --> 01:03:18]  Изговядины будет чуть-чуть подорожие.
[01:03:18 --> 01:03:22]  Если делать, мы сейчас прорабатываем люляки бабу.
[01:03:22 --> 01:03:23]  Изговядины.
[01:03:23 --> 01:03:24]  Испораненные.
[01:03:24 --> 01:03:27]  И предполагаем, мы еще точно не рассчитываем.
[01:03:27 --> 01:03:29]  Предполагаем, что розничает цена.
[01:03:29 --> 01:03:31]  Пристоимость и бараненные.
[01:03:31 --> 01:03:33]  800 рублей за килограмм.
[01:03:33 --> 01:03:36]  Розничается нам будет где-то две двести.
[01:03:36 --> 01:03:39]  Это уже готовых в заморозки упакованных.
[01:03:39 --> 01:03:40]  Это не копченые.
[01:03:40 --> 01:03:41]  Это не копченые.
[01:03:41 --> 01:03:42]  Это половабрикаты.
[01:03:42 --> 01:03:46]  Но если переводить на такие колбаски,
[01:03:46 --> 01:03:49]  наверное будет, что продукт разными.
[01:03:49 --> 01:03:53]  Понимаем, что фаршевой половабрикат и колбаска.
[01:03:53 --> 01:03:55]  К ним подругому относится.
[01:03:55 --> 01:03:56]  Пролета спустится.
[01:03:56 --> 01:03:58]  Пациня будет, наверное, 2000.
[01:03:58 --> 01:03:59]  Да.
[01:03:59 --> 01:04:02]  Но все равно получается, что общая производственная
[01:04:02 --> 01:04:04]  себе стоимость с учетом.
[01:04:04 --> 01:04:08]  И работ и сотрудников и электринерги.
[01:04:08 --> 01:04:10]  Испетцы и упаковки.
[01:04:10 --> 01:04:11]  И само у мяса.
[01:04:11 --> 01:04:13]  Ну, 1000 рублей за килограмм.
[01:04:13 --> 01:04:14]  Это колбаски избораненные.
[01:04:14 --> 01:04:15]  Испораненные.
[01:04:15 --> 01:04:16]  Испораненные.
[01:04:16 --> 01:04:17]  Испораненные.
[01:04:17 --> 01:04:18]  Испоранальные.
[01:04:18 --> 01:04:19]  Это полное себе стоимость.
[01:04:19 --> 01:04:20]  Испоранные.
[01:04:20 --> 01:04:21]  Испораненные.
[01:04:21 --> 01:04:23]  Испораненные.
[01:04:23 --> 01:04:26]  И на цен, кому видим, что примерно 100, 110, 120 процентов.
[01:04:26 --> 01:04:27]  Да.
[01:04:27 --> 01:04:28]  Вот.
[01:04:28 --> 01:04:31]  Вы спросите, что именно по этим колбасом,
[01:04:31 --> 01:04:33]  который не содержит себе свини.
[01:04:33 --> 01:04:36]  Сколько примерно их можно продавать в месяц?
[01:04:36 --> 01:04:38]  С учетом нашего производства.
[01:04:38 --> 01:04:41]  Их можно продавать полтоны в месяц.
[01:04:41 --> 01:04:44]  При том, что мы производим другие продукты.
[01:04:44 --> 01:04:48]  и для того чтобы производить продукты из бараненной или говядины,
[01:04:48 --> 01:04:54]  нужно не смешиваяся свининой, нужно производство освобождать от других
[01:04:54 --> 01:04:58]  техногических процессов, и производить только из мяса,
[01:04:58 --> 01:05:03]  которая, со свининой, не будет прикосаться, соприкасад, если мы говорим, как он.
[01:05:03 --> 01:05:07]  А подскажи, пожалуйста, по такому продукту, какие есть каналы сбыто,
[01:05:07 --> 01:05:11]  из каких каналы сбыто лучше всего начинает интернарализовать такую продукцию.
[01:05:11 --> 01:05:15]  Ну, это продукция будет, честно говорить, не массовое потребление,
[01:05:15 --> 01:05:19]  это либо на гурманов, рассчитано, которые не едят свинину совсем.
[01:05:19 --> 01:05:22]  Либо на людей, которые свинину не уважают.
[01:05:22 --> 01:05:25]  И тогда это вообще отдельная история.
[01:05:25 --> 01:05:30]  Это тонкий узкий точке реализации, какие-то маленькие фермерские магазины,
[01:05:30 --> 01:05:34]  рынки, скорее всего, либо вот такие точки розничные как наши.
[01:05:34 --> 01:05:37]  А скажи, если на перенес старта старта уезжая,
[01:05:37 --> 01:05:42]  еще производство, ну, например, небольшой производство с небольшим магазинчиком или такой ремесной лавкой,
[01:05:42 --> 01:05:45]  у которого есть доступ, несколько рынком, например, нескольм магазином,
[01:05:45 --> 01:05:50]  с какого объема продашь можно, ну, основной начинается вообще в принципе бизнес-подобной.
[01:05:50 --> 01:05:56]  Чтобы продавать мелкий моб, там нужно производить на минимум 50 килограмм фоосвеном.
[01:05:56 --> 01:05:57]  Все, нет.
[01:05:57 --> 01:06:02]  То есть, мы производим 50 килограмм, уже начинаем сбывать по местным направлением.
[01:06:02 --> 01:06:05]  Это самый минимум, который может забрать,
[01:06:05 --> 01:06:09]  при наличии уже заключенных договоров, чтобы понимать,
[01:06:09 --> 01:06:12]  какой у тебя объем, чтобы можно было хоть что-то посчитать.
[01:06:12 --> 01:06:17]  Ну и, соответственно, 50 килограмм условно в смену, здесь дополнительный персонал не нужен.
[01:06:17 --> 01:06:18]  Не нужен.
[01:06:18 --> 01:06:21]  Это может делать собственник сам, если он любит свое дело,
[01:06:21 --> 01:06:25]  абсолютно спокойно и даже не за 12 часов, что все нормально.
[01:06:25 --> 01:06:30]  Потом поставил условно в камеру накопчения, вот, иногда к ней подходит для того,
[01:06:30 --> 01:06:33]  чтобы отрегулировать программу, да, посмотреть.
[01:06:33 --> 01:06:37]  Перейти на другой шаг, как бы да, и либо за жизнь домогенератор,
[01:06:37 --> 01:06:39]  и занимается параллельно кими-другими.
[01:06:39 --> 01:06:42]  Да, можно абсолютно свободно в этом время заниматься,
[01:06:42 --> 01:06:48]  либо производством другой продукции, свинины, либо заниматься оформлением выпусков,
[01:06:48 --> 01:06:52]  потому что, в любом производстве, любой шаг должен быть зафиксированно документально.
[01:06:52 --> 01:06:55]  Ну и, соответственно, если камера автоматически,
[01:06:55 --> 01:06:56]  там просто кодку нажимает.
[01:06:56 --> 01:06:59]  За двину лтилешку, у вас колбасовый нажал кнопку,
[01:06:59 --> 01:07:00]  и пошел спокойно себе.
[01:07:00 --> 01:07:04]  Главное, вовремя достать и поставить охаждац.
[01:07:04 --> 01:07:05]  Понятно.
[01:07:05 --> 01:07:08]  Так, давай перейдем колбасе из свинины,
[01:07:08 --> 01:07:11]  которую есть люди, которые ее не уважают,
[01:07:11 --> 01:07:14]  но это все равно продукт массового потребления.
[01:07:14 --> 01:07:18]  На страние характерна, то, что люди и ряotsвинины много,
[01:07:18 --> 01:07:22]  и свинину лугет, и это один из наших топовых продуктов,
[01:07:22 --> 01:07:25]  деревянская колбаса, она очень похоже на украинскую,
[01:07:25 --> 01:07:27]  как я уже говорила в том, да?
[01:07:27 --> 01:07:31]  В общем, похоже на одескую, которую коллега есть свинины,
[01:07:31 --> 01:07:34]  но она не такая чесночная, как вот эту в эту крайность,
[01:07:34 --> 01:07:36]  колбасовая, да, вязанка такая.
[01:07:36 --> 01:07:38]  Полней себе достойная, с натуральной местной вкусом,
[01:07:38 --> 01:07:41]  не переведем лишней меспекциями.
[01:07:41 --> 01:07:45]  Серьез, на эту колбасу, это может быть
[01:07:45 --> 01:07:46]  три минутка другого производства.
[01:07:46 --> 01:07:48]  Например, когда мы производим корейку,
[01:07:48 --> 01:07:51]  мы в любом случае удаляем кацу.
[01:07:51 --> 01:07:55]  Я с жировой полосу, потому что мы работаем уже с подготовлением с рием,
[01:07:55 --> 01:07:59]  сейчас мы не занимаемся разделкой туши полу туш.
[01:07:59 --> 01:08:00]  Вам привез уже готовы?
[01:08:00 --> 01:08:05]  Я привез к готовы охлаждённые вакууме упакованные на фирмеском предприятие.
[01:08:05 --> 01:08:07]  Вот примерно только которого спродоётся здесь в теннинде.
[01:08:07 --> 01:08:12]  Да, это абсолютно вот чистый продукт без, опять-таки,
[01:08:12 --> 01:08:15]  сейчас же все везде работает, но в лечение массы.
[01:08:15 --> 01:08:19]  А этот производитель намтоёт абсолютно не накачивая серьез,
[01:08:19 --> 01:08:22]  и мы сухой, хорошие, и мы не утром бьют,
[01:08:22 --> 01:08:25]  и в 14-15 часов нас отгружают.
[01:08:25 --> 01:08:29]  Ну, это, кстати, важно найти такого пастовщика с риадом.
[01:08:29 --> 01:08:32]  Именно, который, с которым договорится,
[01:08:32 --> 01:08:34]  и на меня на посому виду мясо,
[01:08:34 --> 01:08:35]  может сказать, накачивая на ленинде.
[01:08:35 --> 01:08:38]  Абсолютно, потому что это влияет на объемы,
[01:08:38 --> 01:08:41]  на количество жидкости вакуумном пакете.
[01:08:41 --> 01:08:44]  И в итоге на выхода с колбасы, которые вы будете делаете,
[01:08:44 --> 01:08:45]  что вам это.
[01:08:45 --> 01:08:46]  Конечно, это вот корейка, да?
[01:08:46 --> 01:08:47]  Это корейка.
[01:08:48 --> 01:08:49]  Здесь написан производитель.
[01:08:49 --> 01:08:53]  Это естественная влага, которую выходит из охлажденного сриан.
[01:08:53 --> 01:08:55]  То есть, если бы она была накаченная, да?
[01:08:55 --> 01:08:57]  Здесь было бы воды кратна больше.
[01:08:57 --> 01:08:59]  Так, почему вот такое такая свинина приезжает?
[01:08:59 --> 01:09:03]  Конкретно, на вот этой сейчас в закупе в опте, в мелком опте,
[01:09:03 --> 01:09:06]  320 рублей за килограмм идёт.
[01:09:06 --> 01:09:08]  Она идёт на колбасу такая же.
[01:09:08 --> 01:09:12]  А, смотри, из этого мы отделяем вот эту небольшую кассу.
[01:09:12 --> 01:09:16]  Она идёт в виде, это превращается, становится три минк.
[01:09:16 --> 01:09:20]  А из этого мы делаем цельном, лично продукции в вот такой вот корейку.
[01:09:20 --> 01:09:22]  В корейке мы делаем корейку и сказали,
[01:09:22 --> 01:09:25]  мы делаем деревенскую колбасу.
[01:09:25 --> 01:09:29]  На деревенскую колбасу помимо этой кассы еще подойдёт три минка,
[01:09:29 --> 01:09:30]  который его с 8 на 20.
[01:09:30 --> 01:09:34]  В 8 процентов мясо 20 процентов жира.
[01:09:34 --> 01:09:36]  И тоже будет хорошо получаться.
[01:09:36 --> 01:09:41]  И в закупке сейчас килограмм такого, три минка стоит 250 рублей.
[01:09:41 --> 01:09:45]  То есть, по сути, вот с себестой мис такой колбасы,
[01:09:45 --> 01:09:51]  какая получается по мясу и с учетом мяса, спецы и упаковки.
[01:09:51 --> 01:09:54]  Три струбляи 28 мис.
[01:09:54 --> 01:09:56]  Три ста-тира 28 мис.
[01:09:56 --> 01:10:03]  Потому что мы берем основная вес мяса, к ним удобавляется примерно 10-15% воды.
[01:10:03 --> 01:10:06]  А оно прям впитывается фарш.
[01:10:06 --> 01:10:07]  Когда привымешивание.
[01:10:07 --> 01:10:11]  И в 10 процентов тиряется в процессе термабора.
[01:10:11 --> 01:10:14]  Да, намного не тиряется, что она оболочная.
[01:10:14 --> 01:10:16]  Оболочка натуральная получается.
[01:10:16 --> 01:10:19]  Свиная черевава, вот такая жесть, который сегодня работали.
[01:10:19 --> 01:10:23]  Ну и тоже имеет смысл ее, начинать продвигать все эти в магазины,
[01:10:23 --> 01:10:24]  в ярмарке.
[01:10:24 --> 01:10:26]  Вот тоже где-то с 50 килограмм в смену.
[01:10:26 --> 01:10:27]  Да.
[01:10:27 --> 01:10:29]  Это тоже вот считает два спера.
[01:10:29 --> 01:10:31]  Это примерно половина загрузки одной рамы.
[01:10:31 --> 01:10:32]  Да.
[01:10:32 --> 01:10:35]  Например, если бы стартовали, имеет смысл значально маленькую камеру
[01:10:35 --> 01:10:37]  и 20 килограммовую брать.
[01:10:37 --> 01:10:39]  Или лучше взять с раусто килограммовую камеру, чтобы мы...
[01:10:39 --> 01:10:44]  На перспективу нужно всегда там получать покупу в стоимости камере
[01:10:44 --> 01:10:50]  камер кажется, что сначала это будет сильная большая.
[01:10:50 --> 01:10:54]  Но в процессе, если правильно выстроить план продаж,
[01:10:54 --> 01:10:55]  это очень быстро купится.
[01:10:55 --> 01:10:59]  Тем более здесь получаются хорошие себе стоимости.
[01:10:59 --> 01:11:03]  Мы в оптод даем эту колбасу сейчас по 520 рублей.
[01:11:03 --> 01:11:04]  520.
[01:11:04 --> 01:11:07]  Например, на получение 220 рублей на килограмминаценка.
[01:11:07 --> 01:11:10]  Вот это без учета, получается персонал,
[01:11:10 --> 01:11:13]  то есть персонал где-то на рублей 40-50 килограмм.
[01:11:13 --> 01:11:16]  На ненаводит у нас получается.
[01:11:16 --> 01:11:20]  И с учетом, если вычесть себе стоимости на килограмм,
[01:11:20 --> 01:11:24]  то есть 350 рублей, сто семьи струблины к килограммему.
[01:11:24 --> 01:11:27]  Да, с семьи струблины к килограммему можно делать чистыми.
[01:11:27 --> 01:11:29]  Это если ты хочешь работать на объем,
[01:11:29 --> 01:11:32]  потому что в данном случае конкретно с этим искают
[01:11:32 --> 01:11:35]  и усеют этой товарной позиции нужно контролировать
[01:11:35 --> 01:11:39]  своих покупателей, которые у тебя покупают подзблит.
[01:11:39 --> 01:11:41]  Чтобы они не поднимали цену.
[01:11:41 --> 01:11:43]  Расскажи, пожалуйста, скульковы продаются.
[01:11:43 --> 01:11:45]  Вот это колбасы в сезон и не в сезон.
[01:11:45 --> 01:11:49]  Не в сезон мы продаем килограмм 20 в неделю.
[01:11:49 --> 01:11:52]  Но надо понимать, что наша производство находится
[01:11:52 --> 01:11:55]  в трудной доступном для основного человека потока вместе.
[01:11:55 --> 01:11:58]  Мы очень завязаны на туристический поток,
[01:11:58 --> 01:12:01]  на дачеников, на туристов, которые приезжают в обсковской области.
[01:12:01 --> 01:12:08]  И в сезонные продажи наши доходят до 300-150 килограмм в месяц.
[01:12:08 --> 01:12:09]  Вот именно это колбасы.
[01:12:09 --> 01:12:10]  И мы на этой колбасы.
[01:12:10 --> 01:12:12]  И только маленькая такую лавки в магазине.
[01:12:12 --> 01:12:16]  И только в нашей розничестве точке мы больше этой никуда не поставляем.
[01:12:16 --> 01:12:18]  То есть это наша мистичковая история,
[01:12:18 --> 01:12:19]  говядина, баранина.
[01:12:19 --> 01:12:21]  А вот такую колбасу.
[01:12:21 --> 01:12:23]  Вот эту колбасу мы продаем в Петербург.
[01:12:23 --> 01:12:27]  И здесь мы при такой ценовой политике делаем упор на объем.
[01:12:27 --> 01:12:29]  Можно срабатывать деньги на этом.
[01:12:29 --> 01:12:33]  И сколько приеменом месяц такой колбасы упордаются?
[01:12:33 --> 01:12:34]  Ну, килограмм 500.
[01:12:34 --> 01:12:37]  И сейчас при наличии всего лишь 9-3 реализации.
[01:12:37 --> 01:12:41]  А как бы строивышленный такой объем реализации?
[01:12:41 --> 01:12:43]  На 500 килограмм.
[01:12:43 --> 01:12:45]  Здесь нужно ставить цель в объеме продаж.
[01:12:45 --> 01:12:46]  Закакую перелать.
[01:12:46 --> 01:12:48]  Нужно нарастить свои продажи.
[01:12:48 --> 01:12:50]  Лично у меня это мои человеческие качества.
[01:12:50 --> 01:12:52]  Надо понимать, кто занимается продажи мясобствования,
[01:12:52 --> 01:12:54]  либо наемный стронень.
[01:12:54 --> 01:12:55]  Так как я собственник,
[01:12:55 --> 01:12:58]  и это моя заинтересованность продавать по определенной
[01:12:58 --> 01:12:59]  дельте вверх.
[01:12:59 --> 01:13:06]  Конечно, я договариваюсь, подбираем из партнёрыми возможными условия
[01:13:06 --> 01:13:09]  по цене и по периодичности поставок.
[01:13:09 --> 01:13:11]  Сейчас мы постабляем раз в неделю.
[01:13:11 --> 01:13:13]  Возьм от суды.
[01:13:13 --> 01:13:14]  Возьм от суды туда.
[01:13:14 --> 01:13:16]  Это с 3 часа, с 40 километров.
[01:13:16 --> 01:13:20]  Да, 20-40 метров, 3,5 часа идет у нас машина.
[01:13:20 --> 01:13:23]  Мы за один день разозвозем по универсамам.
[01:13:23 --> 01:13:25]  И вот в те точки родственной.
[01:13:25 --> 01:13:27]  Какая логистика накладывает дополнительность
[01:13:27 --> 01:13:29]  на себе стоимость на килограмм примену считали?
[01:13:29 --> 01:13:31]  5-7%.
[01:13:31 --> 01:13:34]  Сейчас у нас при том, что мы визем сами.
[01:13:34 --> 01:13:36]  Если на немателdoстическую компанию, то это будет стоить
[01:13:36 --> 01:13:38]  в районе 15%.
[01:13:38 --> 01:13:41]  15% от цены реализации.
[01:13:41 --> 01:13:43]  Вот, наши оптовые цены.
[01:13:43 --> 01:13:47]  Но у нас еще все дело в том, что мы работаем с НДС.
[01:13:47 --> 01:13:49]  И это наш преимущество.
[01:13:49 --> 01:13:53]  Если кто-то предприниматель решил работать без НДС,
[01:13:53 --> 01:13:54]  нужно будет это понимать.
[01:13:54 --> 01:13:56]  И мы придет в поднятице на выше.
[01:13:56 --> 01:14:00]  Мы когда работали без НДС, нас отгрозочная цена оптовая.
[01:14:00 --> 01:14:01]  У нас была выше.
[01:14:01 --> 01:14:05]  А с какого объема начинали в принципе вот эту колбасу.
[01:14:05 --> 01:14:11]  Вот самый самый старт, только только начинайте, с какого объема
[01:14:11 --> 01:14:12]  начинали.
[01:14:12 --> 01:14:16]  Мы все начинали с объема в загрузке половины рамы.
[01:14:16 --> 01:14:17]  А, то есть 50 килограмм предспектики.
[01:14:17 --> 01:14:19]  Произвили и поехали продавать.
[01:14:19 --> 01:14:22]  Но предварительные дерговоренности какие-то есть.
[01:14:22 --> 01:14:23]  Куда повезете?
[01:14:23 --> 01:14:28]  Нужно понимать, при начале милка оптовых продаж нужно
[01:14:28 --> 01:14:32]  закладывать какое-то процент выработки.
[01:14:32 --> 01:14:36]  Наде густацию и зачастую это может быть очень большой процент.
[01:14:36 --> 01:14:37]  Потому что приходится возить.
[01:14:37 --> 01:14:43]  Вот такие товарные образцы при ведении переговоров потенциальные покупатели.
[01:14:43 --> 01:14:48]  Обтовые смотрят на наличие не только брендовых наших.
[01:14:48 --> 01:14:49]  Но неиспотребят.
[01:14:49 --> 01:14:50]  Да.
[01:14:50 --> 01:14:53]  Вот они смотрят на товарную текетку, на которые, которые
[01:14:53 --> 01:14:56]  должны ответить с всем требованием ростничных бродаж.
[01:14:56 --> 01:14:59]  Присенабы должны быть информативно для потребительных, которые
[01:14:59 --> 01:15:00]  приходят забирать продукт с полки.
[01:15:00 --> 01:15:02]  И рассказывать, или по подробнее именно про корейку.
[01:15:02 --> 01:15:07]  Вот по этой корейке в загупе сейчас стоит 200-800 рублей килограмм
[01:15:07 --> 01:15:08]  корейки.
[01:15:08 --> 01:15:09]  Это вот такую вакку.
[01:15:09 --> 01:15:11]  Это вот такой шок.
[01:15:11 --> 01:15:13]  Ну сейчас цена пойдет вверх.
[01:15:13 --> 01:15:15]  Он будет стоит 300-300 рублей.
[01:15:15 --> 01:15:18]  Если ты покупаешь, да?
[01:15:18 --> 01:15:20]  Да, 300-500 может, да и тилет.
[01:15:20 --> 01:15:21]  А летом, да.
[01:15:21 --> 01:15:24]  Она повышает целетом, закупе и экземия снижает.
[01:15:24 --> 01:15:29]  Да, да, даже всего самая большая удоражания идет в шей,
[01:15:29 --> 01:15:31]  потому что на неже, да, наши шлуки.
[01:15:31 --> 01:15:34]  Корейка не так сильно гуляет, но у сезон с равно зависит.
[01:15:34 --> 01:15:39]  В среднем где-то дорожает срёс.
[01:15:39 --> 01:15:41]  Сейчас может на 10-15 рублей в неделю.
[01:15:41 --> 01:15:45]  То есть этот тоже нужен учитываясь, и у вас будет продукция дорожается.
[01:15:45 --> 01:15:49]  Но мы в нуждении в какое время цены держать.
[01:15:49 --> 01:15:54]  Потому что не все готовы работать с цены, которая постоянно растет.
[01:15:54 --> 01:15:57]  Ну же контракт какой-то заключается, да, Говора, предъемный, да?
[01:15:57 --> 01:15:58]  Понимаю.
[01:15:58 --> 01:16:01]  Поэтому где-то мы закогда там зарабатываем больше, когда-то меньше.
[01:16:01 --> 01:16:04]  Это такая особенность работы небольших производств.
[01:16:04 --> 01:16:08]  Потому что большие производства, они где-то по-другому не вилируют.
[01:16:08 --> 01:16:10]  Они могут быть, для меня, они могут делать большие запасы,
[01:16:10 --> 01:16:12]  дешевого срия.
[01:16:12 --> 01:16:14]  Например, больших морозилках держать у нас,
[01:16:14 --> 01:16:18]  чтобы вы сможете нет, потому что мы не только пробуем,
[01:16:18 --> 01:16:19]  а мы еще и прокачиваются.
[01:16:19 --> 01:16:22]  А по сути, работаете на охлажденном серии?
[01:16:22 --> 01:16:26]  Да, мы работаем преимущественно на охлажденном срия.
[01:16:26 --> 01:16:29]  Получается берем килограмм продукции по 28-м спея.
[01:16:29 --> 01:16:34]  Да, по 28-м спея, рублей закладываем по 57 рублей в зависимости от стоимости.
[01:16:34 --> 01:16:37]  Это специи, оболочки там нет.
[01:16:37 --> 01:16:42]  Соответственно у нас выходит от 29 рублей.
[01:16:42 --> 01:16:47]  Это таварная собестоимость, плюс электричество, фото, амортизация.
[01:16:47 --> 01:16:49]  Получается, где-то рублей 300-40.
[01:16:49 --> 01:16:51]  300-40 килограмм.
[01:16:51 --> 01:16:54]  Но вы здесь мы не кируем это мясо?
[01:16:54 --> 01:16:57]  Мы его инъектируем и нужно понимать,
[01:16:57 --> 01:16:59]  что мы не делаем выход больше, чем 130%.
[01:16:59 --> 01:17:03]  Мы прочим большого объема промышленной химии,
[01:17:03 --> 01:17:06]  поэтому мы сильно больше 30-ти неделаем выход.
[01:17:06 --> 01:17:14]  28-м спея, получается, мы условно 5-6 рублей, это специи.
[01:17:14 --> 01:17:17]  Вкачаем 30-тидесят.
[01:17:17 --> 01:17:22]  Теряем примерно 15-тидесят на термический потердесят, 15-тидесят.
[01:17:22 --> 01:17:23]  Здесь здесь, 10-тидесят.
[01:17:23 --> 01:17:27]  Получается, корейка, она плотная, плотная, локнистая, она немного.
[01:17:27 --> 01:17:29]  Собестоимость точно мы посчитаем.
[01:17:29 --> 01:17:34]  Да, заложем еще условно по 15-тидесят на логистику.
[01:17:34 --> 01:17:37]  И какая цена вы в магазине продаются?
[01:17:37 --> 01:17:41]  Сейчас я отпускаю по 4-20 рублей за килограмм.
[01:17:41 --> 01:17:43]  И сколько в неделю она продается?
[01:17:43 --> 01:17:46]  У меня вы в неделю ее хорошо продается.
[01:17:46 --> 01:17:49]  Лучше всего продается щека,
