[00:00:00 --> 00:00:02]  У-а-у! У-а-у!
[01:15:05 --> 01:15:06]  а если не изменяется диаметре,
[01:15:06 --> 01:15:07]  это это,
[01:15:07 --> 01:15:09]  в этом случае,
[01:15:09 --> 01:15:13]  он у нас служит долго и счастлива.
[01:15:13 --> 01:15:18]  Вот за всю историю создания теномаками
[01:15:18 --> 01:15:21]  напродали моих уже больше налетов 50,
[01:15:21 --> 01:15:24]  мы поменяли эти стына, наверное,
[01:15:24 --> 01:15:25]  раз за два.
[01:15:25 --> 01:15:26]  Сногие спрашивают,
[01:15:26 --> 01:15:27]  как часто нужно менять пен,
[01:15:27 --> 01:15:28]  нужно рейду закупать,
[01:15:28 --> 01:15:30]  наполнение ляцами,
[01:15:30 --> 01:15:31]  расходным материалом.
[01:15:31 --> 01:15:32]  В нашем случае,
[01:15:32 --> 01:15:34]  расходом материалами не уряется,
[01:15:34 --> 01:15:34]  они,
[01:15:34 --> 01:15:35]  они,
[01:15:35 --> 01:15:35]  они,
[01:15:35 --> 01:15:35]  они,
[01:15:36 --> 01:15:36]  долгосрочным,
[01:15:36 --> 01:15:37]  служим,
[01:15:37 --> 01:15:38]  или ментом.
[01:15:39 --> 01:15:39]  Вот,
[01:15:41 --> 01:15:42]  значит,
[01:15:43 --> 01:15:44]  следующий важный момент
[01:15:44 --> 01:15:45]  заключается в том,
[01:15:45 --> 01:15:47]  что если у вас тенера с полагаются уже
[01:15:47 --> 01:15:48]  непосредственно в самокамере,
[01:15:48 --> 01:15:50]  они у вас играет камеру,
[01:15:50 --> 01:15:51]  они у вас не играет подволы,
[01:15:51 --> 01:15:53]  они у вас не играет потолок,
[01:15:53 --> 01:15:55]  они у вас играет непосредственно сам продукт,
[01:15:55 --> 01:15:56]  вот область,
[01:15:56 --> 01:15:57]  соответственно,
[01:15:57 --> 01:15:58]  энергет эффективность,
[01:15:58 --> 01:15:59]  самой камеру,
[01:15:59 --> 01:16:01]  у нас очень сильно за слава,
[01:16:01 --> 01:16:03]  по сравнению с теми,
[01:16:03 --> 01:16:04]  если располагать тенера здесь,
[01:16:04 --> 01:16:05]  там по этой,
[01:16:05 --> 01:16:07]  на 10-20% на бефективность,
[01:16:07 --> 01:16:08]  просто стоит.
[01:16:08 --> 01:16:09]  Ну и дополнительным голосом
[01:16:09 --> 01:16:10]  осталось,
[01:16:10 --> 01:16:12]  что вода успевает,
[01:16:13 --> 01:16:14]  мент и диспетственная вода успевает,
[01:16:14 --> 01:16:15]  проте долгий,
[01:16:15 --> 01:16:15]  путь,
[01:16:15 --> 01:16:16]  прежде,
[01:16:16 --> 01:16:16]  по-пасикамерам,
[01:16:16 --> 01:16:17]  соответственно,
[01:16:17 --> 01:16:18]  практически полностью
[01:16:19 --> 01:16:20]  превращается в парх.
[01:16:22 --> 01:16:23]  Вот,
[01:16:23 --> 01:16:24]  так,
[01:16:24 --> 01:16:26]  из дальнейших у нас отличие сейчас,
[01:16:26 --> 01:16:26]  я еще посмотрю,
[01:16:26 --> 01:16:27]  еще,
[01:16:27 --> 01:16:28]  еще хотел сказать.
[01:16:30 --> 01:16:30]  Так,
[01:16:30 --> 01:16:31]  с тема управления,
[01:16:31 --> 01:16:32]  право,
[01:16:32 --> 01:16:32]  право,
[01:16:32 --> 01:16:32]  право,
[01:16:32 --> 01:16:32]  право,
[01:16:32 --> 01:16:33]  право,
[01:16:33 --> 01:16:33]  право,
[01:16:34 --> 01:16:35]  технология нагрева камеры,
[01:16:37 --> 01:16:38]  в общем-то,
[01:16:38 --> 01:16:39]  из основных момента все,
[01:16:39 --> 01:16:40]  ну,
[01:16:40 --> 01:16:41]  еще в важный момент,
[01:16:41 --> 01:16:42]  здесь мы
[01:16:43 --> 01:16:43]  тоже
[01:16:43 --> 01:16:44]  забудемся о том,
[01:16:44 --> 01:16:46]  чтобы работать с камерой,
[01:16:46 --> 01:16:48]  чтобы работать и не старадать,
[01:16:48 --> 01:16:48]  чтобы
[01:16:50 --> 01:16:52]  обеспечивать частоту в коптильном помещении.
[01:16:52 --> 01:16:53]  Мы здесь ставим
[01:16:53 --> 01:16:55]  специальный поддол,
[01:16:55 --> 01:16:56]  он идет в комплекте,
[01:16:56 --> 01:16:57]  в которой
[01:16:58 --> 01:17:00]  все вливаемые вода,
[01:17:00 --> 01:17:01]  скапливается именно этот поддом,
[01:17:01 --> 01:17:02]  в том случае,
[01:17:02 --> 01:17:03]  если у вас нет такого трапа.
[01:17:04 --> 01:17:04]  Но,
[01:17:04 --> 01:17:06]  я настоятельно рекомендую
[01:17:06 --> 01:17:07]  от таком трапик позаботиться,
[01:17:07 --> 01:17:09]  потому что постоянно выливать такой поддом,
[01:17:09 --> 01:17:11]  делал достаточно такой накладное.
[01:17:11 --> 01:17:12]  Ну,
[01:17:12 --> 01:17:13]  неудобно просто.
[01:17:13 --> 01:17:15]  Поэтому мы с моем тестовом циху,
[01:17:15 --> 01:17:15]  у нас нет,
[01:17:15 --> 01:17:18]  здесь возможности продал бить пол,
[01:17:18 --> 01:17:19]  мы решили это,
[01:17:19 --> 01:17:21]  ну вот такой вот железный подставкой,
[01:17:21 --> 01:17:21]  ну вот,
[01:17:21 --> 01:17:22]  у нас все это сливается,
[01:17:22 --> 01:17:23]  собственно.
[01:17:23 --> 01:17:25]  То есть,
[01:17:25 --> 01:17:27]  я не пытаюсь
[01:17:32 --> 01:17:34]  так пошёл к процесс.
[01:17:35 --> 01:17:36]  Все,
[01:17:36 --> 01:17:36]  на его передождение,
[01:17:36 --> 01:17:38]  передзвинить кубыц,
[01:17:38 --> 01:17:39]  все еще сейчас.
[01:17:39 --> 01:17:41]  Продолжаем траследце.
[01:17:43 --> 01:17:45]  Спасибо, тем кто остался с нами.
[01:17:46 --> 01:17:46]  Вот,
[01:17:46 --> 01:17:48]  перезагрузиванием немножко текнических
[01:17:48 --> 01:17:49]  просморишили.
[01:17:50 --> 01:17:50]  Вот,
[01:17:50 --> 01:17:51]  так,
[01:17:51 --> 01:17:52]  сейчас отвечаем на
[01:17:52 --> 01:17:53]  вашего вопроса,
[01:17:53 --> 01:17:54]  так, игр или синка.
[01:17:54 --> 01:17:55]  Сейчас,
[01:17:55 --> 01:17:55]  на секунду.
[01:17:57 --> 01:17:59]  Так, по поводу мойке
[01:17:59 --> 01:18:02]  и по поводу шумам.
[01:18:02 --> 01:18:03]  Боводу шумы я ответил.
[01:18:03 --> 01:18:04]  Соответственно,
[01:18:07 --> 01:18:09]  на полнтраты,
[01:18:09 --> 01:18:10]  на будет работе очень тихо,
[01:18:10 --> 01:18:13]  небольшой шум будет идти
[01:18:14 --> 01:18:16]  от венселятора присушки.
[01:18:16 --> 01:18:18]  Но возможно вы
[01:18:18 --> 01:18:18]  говорите,
[01:18:18 --> 01:18:21]  прошум от фрикционного дымыгниратора,
[01:18:21 --> 01:18:23]  которая стоит на инвайн-3 камеры.
[01:18:24 --> 01:18:26]  Там действительно шумы дымыгниратор,
[01:18:26 --> 01:18:28]  но это не касается,
[01:18:28 --> 01:18:29]  именно этой термокаймера,
[01:18:29 --> 01:18:31]  это термокаймера работает исключительно тихо.
[01:18:34 --> 01:18:34]  Значит,
[01:18:35 --> 01:18:36]  что касается
[01:18:39 --> 01:18:40]  мойки,
[01:18:42 --> 01:18:43]  в этом случае,
[01:18:43 --> 01:18:43]  в камере,
[01:18:43 --> 01:18:46]  реализованно технология с самомойки.
[01:18:46 --> 01:18:48]  То есть, на этапе,
[01:18:48 --> 01:18:49]  права от кипаром,
[01:18:49 --> 01:18:52]  она моец промывается парам
[01:18:52 --> 01:18:54]  и тут накопленный,
[01:18:56 --> 01:18:58]  накопленный осмола на стенках,
[01:18:58 --> 01:19:00]  вместе с паром сливается непросоидственно на пол,
[01:19:00 --> 01:19:04]  и удаляется систему канализации.
[01:19:04 --> 01:19:05]  Если мы говорим про
[01:19:08 --> 01:19:13]  мойку периодическую желательно снимать верхний короб,
[01:19:13 --> 01:19:15]  сейчас ее покажу.
[01:19:15 --> 01:19:18]  Вот этот вот короб,
[01:19:18 --> 01:19:19]  снимая с настоящим лихо,
[01:19:19 --> 01:19:21]  отключу из четыре болта.
[01:19:21 --> 01:19:22]  Здесь, в тескоробок,
[01:19:22 --> 01:19:23]  вот этот,
[01:19:23 --> 01:19:24]  который желательно промывать,
[01:19:24 --> 01:19:26]  хотя бы, рассумеется,
[01:19:26 --> 01:19:30]  реальным без мойки камера может работать,
[01:19:30 --> 01:19:32]  проверенно до двух лет.
[01:19:32 --> 01:19:35]  Нас был клиент, который два года не молкаемеру,
[01:19:35 --> 01:19:36]  позвонил нам,
[01:19:36 --> 01:19:38]  что что-то в восплохо начала работать,
[01:19:38 --> 01:19:39]  дым не поступает в камеру.
[01:19:39 --> 01:19:41]  Он его по сути лотокще,
[01:19:41 --> 01:19:42]  с которой дым подсасывается,
[01:19:42 --> 01:19:44]  из дымыгнираторов камеру.
[01:19:44 --> 01:19:47]  Он полностью был забит с молой.
[01:19:47 --> 01:19:50]  Вот мы, сотрясняли ему короб,
[01:19:50 --> 01:19:52]  показали, как все это делается,
[01:19:52 --> 01:19:56]  и он приступил дальше в счастливой работе.
[01:19:56 --> 01:19:57]  Содействительно,
[01:19:57 --> 01:19:58]  реальная камера можно быть,
[01:19:58 --> 01:20:00]  мы достаточно редко.
[01:20:00 --> 01:20:03]  Если вы занимает производить вовенокопченный продукт,
[01:20:03 --> 01:20:06]  ну желательно хотя бы раз в месяц снимать верхний короб,
[01:20:06 --> 01:20:10]  и промывать по отругу подачи дыма не посредственно в камеру.
[01:20:10 --> 01:20:12]  В этом случае вы гарантируете,
[01:20:12 --> 01:20:14]  что все возработает идеально.
[01:20:14 --> 01:20:19]  Значит, есть также система дополнительная автоматизировной мойки,
[01:20:19 --> 01:20:20]  в которой реализованна,
[01:20:20 --> 01:20:22]  в которой есть мемпранный насос,
[01:20:22 --> 01:20:25]  в которой автоматически подсасывает.
[01:20:27 --> 01:20:29]  Мойщее раствор концентрат,
[01:20:29 --> 01:20:32]  дальше стоит блок смешивание этого концентрата
[01:20:32 --> 01:20:34]  с воздухом, с водой,
[01:20:34 --> 01:20:37]  запинивание камера автоматически на режиме,
[01:20:37 --> 01:20:39]  потом промывка все это делово дой.
[01:20:39 --> 01:20:42]  Такой блок в основном мысляем для тех компании,
[01:20:42 --> 01:20:45]  кому важна именно с точки зрения гигенических норм,
[01:20:45 --> 01:20:47]  выдержать все по-хразб.
[01:20:47 --> 01:20:51]  Вот и сделать все на европейском уровне.
[01:20:51 --> 01:20:53]  Условно на,
[01:20:53 --> 01:20:56]  но сама система стоит порядок 200 тысяч,
[01:20:56 --> 01:20:58]  такой вот мой активный пены.
[01:20:58 --> 01:21:00]  Это половина стоимости камера.
[01:21:00 --> 01:21:01]  Там задейственно,
[01:21:01 --> 01:21:02]  пниматическое система,
[01:21:02 --> 01:21:04]  там мемранный насос,
[01:21:04 --> 01:21:07]  там не тревальная система управления.
[01:21:07 --> 01:21:10]  Вот и, но соответственно, если вам это нужно,
[01:21:10 --> 01:21:10]  мы это ставим.
[01:21:10 --> 01:21:12]  Но если это не нужно,
[01:21:12 --> 01:21:14]  если вам вы можете без этого ботить,
[01:21:14 --> 01:21:16]  тебе это вы можете вообще добавить.
[01:21:16 --> 01:21:17]  Вот то,
[01:21:17 --> 01:21:20]  вот решение мыки парам.
[01:21:20 --> 01:21:22]  В том числе, например,
[01:21:22 --> 01:21:25]  то, как вы видите, как камера выглядит сейчас,
[01:21:25 --> 01:21:26]  мы ее как раз парамом и мы.
[01:21:26 --> 01:21:29]  Мы запускаем примерно 30-40 минут,
[01:21:29 --> 01:21:32]  режим максимальной парагенерации,
[01:21:32 --> 01:21:33]  она пропаривается,
[01:21:33 --> 01:21:34]  в том числе пропаривается.
[01:21:34 --> 01:21:36]  И трубы подача дымом в камеру.
[01:21:36 --> 01:21:40]  И в общем-то все это дело сливается на пол.
[01:21:40 --> 01:21:42]  Вот и удаляется с темы канализации.
[01:21:43 --> 01:21:45]  Вот, значит,
[01:21:46 --> 01:21:49]  как его просто поддонут для сбора жидов в рамут уже есть,
[01:21:49 --> 01:21:50]  да, и есть.
[01:21:50 --> 01:21:52]  Но их мы рекомендуем.
[01:21:52 --> 01:21:53]  То есть, вот у нас наша камера,
[01:21:53 --> 01:21:55]  я насаживаю, покажи пожалуйста.
[01:21:56 --> 01:21:57]  Наш рам, условно.
[01:21:57 --> 01:21:59]  И на эту рамут, в есть нечастник,
[01:21:59 --> 01:22:01]  мы можем установить несколько подонут для сбора жидов.
[01:22:01 --> 01:22:04]  Но они не работают.
[01:22:04 --> 01:22:06]  То есть, если у вас очень плотная,
[01:22:06 --> 01:22:08]  заедка рамы,
[01:22:08 --> 01:22:11]  есть установленная типа поддонного снижнее,
[01:22:11 --> 01:22:12]  или да не будут прокапчиваться.
[01:22:12 --> 01:22:15]  Нежнее поддонным мы с тобой восстановлено для того,
[01:22:15 --> 01:22:21]  чтобы коптить утку либо гуся интенсивно.
[01:22:21 --> 01:22:24]  Тогда когда вам нужно собирать этот жир
[01:22:24 --> 01:22:27]  и не хотите, чтобы он удалялся не в снижную сконализацию.
[01:22:27 --> 01:22:30]  В этом случае завешивать можно начинать встретиво,
[01:22:30 --> 01:22:32]  начинать раздва.
[01:22:32 --> 01:22:36]  Начная встретиво, рядом вот эти вот 3D.
[01:22:36 --> 01:22:39]  Там, в основном, 345 и 67.
[01:22:39 --> 01:22:40]  Вот.
[01:22:40 --> 01:22:48]  И можно эти поддоны удалять перед тем,
[01:22:48 --> 01:22:50]  как в раму выкатываете из камеры.
[01:22:50 --> 01:22:54]  Иначе поддоны наклоняться и жира с отестновывается.
[01:22:54 --> 01:22:56]  Если вы делаете другую продукцию,
[01:22:56 --> 01:22:59]  даже свинину, все остальное,
[01:22:59 --> 01:23:04]  у вас не так много будет жирастикать с продукта
[01:23:04 --> 01:23:08]  и можно удалять из техцам способом вместе с водой,
[01:23:08 --> 01:23:12]  систему канализации предкования камеры.
[01:23:16 --> 01:23:20]  Как сильно будет отличаться и жутцы гигант с парагенератором
[01:23:20 --> 01:23:22]  и панели от 15.
[01:23:24 --> 01:23:27]  По сути, и жутца гиганты была первой наш.
[01:23:27 --> 01:23:31]  Первый вариант термаками разогрузка до 100 килограмм,
[01:23:31 --> 01:23:34]  мы ее там обновились делали систему управления
[01:23:34 --> 01:23:36]  такую жутко на 15.
[01:23:36 --> 01:23:40]  Вырется века, она опциональная за 150 наедет уже в комплекте.
[01:23:40 --> 01:23:42]  Разница между этими камерами не так высоко.
[01:23:42 --> 01:23:46]  Если брать аналогичные комплектации за 15.
[01:23:46 --> 01:23:48]  В разница может быть будет более 80 тысяч,
[01:23:48 --> 01:23:50]  мы в годы меньше.
[01:23:50 --> 01:23:53]  Вот, значит, остальное отличие в том,
[01:23:53 --> 01:23:54]  что вырется за 15.
[01:23:54 --> 01:23:56]  Осталось утепление идет 50 мм,
[01:23:56 --> 01:24:00]  выжет с гиганты, утепление идет там преддвадцать мм.
[01:24:00 --> 01:24:03]  Там используется достаточно хорошую утеплитель,
[01:24:03 --> 01:24:06]  вместе с фольированным слойом.
[01:24:06 --> 01:24:08]  Он хорошо справляет с антимператором.
[01:24:08 --> 01:24:10]  Условно 8,90 градусов,
[01:24:10 --> 01:24:11]  в основном все режимы.
[01:24:11 --> 01:24:14]  В горячего в общения при этом температуре проходит.
[01:24:14 --> 01:24:17]  Вот, и мы рекомендую больше под рыбу.
[01:24:17 --> 01:24:19]  Под горячей общения рыбы.
[01:24:19 --> 01:24:23]  Если мы говорим про мясо и иногда вам нужно более высокого температура,
[01:24:23 --> 01:24:25]  более толстая теплой�оляции,
[01:24:25 --> 01:24:26]  мы соответственно,
[01:24:26 --> 01:24:31]  эти плезоляции выжет за 15 будет более эффективный.
[01:24:31 --> 01:24:32]  Вот.
[01:24:32 --> 01:24:35]  На самом деле энергетически потери,
[01:24:35 --> 01:24:40]  выжет за 10,000 гиганты будет больше,
[01:24:40 --> 01:24:42]  чем за 15 мм, не критично.
[01:24:42 --> 01:24:44]  Осталось отличие,
[01:24:44 --> 01:24:49]  что за 15 нас реализованно такая рама,
[01:24:49 --> 01:24:50]  для развески продукции,
[01:24:50 --> 01:24:53]  но очень удобно и многое вечно с 6 колесом.
[01:24:53 --> 01:24:55]  Все по европейскому стану на то.
[01:24:55 --> 01:24:56]  Сделано.
[01:24:56 --> 01:24:57]  Выросы гиганты,
[01:24:57 --> 01:24:59]  вы знаете, там будет рама,
[01:24:59 --> 01:25:02]  от нашей стандартной и ежет с 1200 мм в айм-3.
[01:25:02 --> 01:25:03]  Вот.
[01:25:03 --> 01:25:06]  И удобство может быть не такое очевидное.
[01:25:07 --> 01:25:08]  Вот, а так.
[01:25:08 --> 01:25:11]  Я бы сказал, что выживаться гиганты
[01:25:11 --> 01:25:13]  будет попроще.
[01:25:13 --> 01:25:13]  Вот это вот за слой,
[01:25:13 --> 01:25:15]  наточка ручная.
[01:25:15 --> 01:25:17]  Но если вам ехать,
[01:25:17 --> 01:25:19]  если вам нужно ехать,
[01:25:19 --> 01:25:19]  то не шашечки.
[01:25:19 --> 01:25:21]  Знаете, то, в общем-то,
[01:25:21 --> 01:25:23]  выживаться гиганты уже хорошего,
[01:25:23 --> 01:25:24]  здесь заслонечки стоят.
[01:25:24 --> 01:25:25]  Вот.
[01:25:25 --> 01:25:28]  И выживаться гиганты,
[01:25:28 --> 01:25:31]  мы не сделали нереализованно,
[01:25:31 --> 01:25:32]  вот такой патру.
[01:25:32 --> 01:25:34]  Соответственно, у вас нет возможности
[01:25:34 --> 01:25:37]  сливать из буток воды,
[01:25:37 --> 01:25:40]  заранее в процессе копчения.
[01:25:40 --> 01:25:42]  И, в общем-то,
[01:25:43 --> 01:25:45]  нет возможности контролировать
[01:25:45 --> 01:25:48]  количество избуточной влаги
[01:25:48 --> 01:25:49]  именно в процессе варки.
[01:25:49 --> 01:25:51]  Но это можно вопрос решить,
[01:25:51 --> 01:25:52]  как просто не в очень предуприванию двери,
[01:25:52 --> 01:25:55]  и смотреть в какой-то же у вас избуточной воды
[01:25:55 --> 01:25:58]  в кака выделяется.
[01:25:58 --> 01:25:59]  Соответственно,
[01:26:00 --> 01:26:02]  гиганты уже хорошая камера,
[01:26:02 --> 01:26:05]  рекомендую брать, если бюджет критичен.
[01:26:05 --> 01:26:08]  Но если бюджет 8,000-м,
[01:26:08 --> 01:26:09]  бюджет не критична,
[01:26:09 --> 01:26:13]  и ржет за 15-15 будет более достойным вариантом.
[01:26:14 --> 01:26:15]  Вот.
[01:26:15 --> 01:26:16]  Давайте дальше по вашему вопросам,
[01:26:16 --> 01:26:18]  мы будем пройдемся.
[01:26:20 --> 01:26:22]  Очень интересно, по нелюправлении,
[01:26:22 --> 01:26:24]  по нелюправлении более меня рассказал,
[01:26:24 --> 01:26:26]  в Рюбу лучше все убрать,
[01:26:26 --> 01:26:27]  чтобы не очень дорогая рюбу,
[01:26:27 --> 01:26:29]  но вкус стабильный был
[01:26:29 --> 01:26:31]  ух, такая формулировка.
[01:26:31 --> 01:26:35]  Значит, стабильный был вкус,
[01:26:35 --> 01:26:38]  ну, самое распространённое рыбогорячего копчения,
[01:26:38 --> 01:26:39]  например, это 3 скава у нас,
[01:26:39 --> 01:26:40]  я бы сказал,
[01:26:40 --> 01:26:42]  скума, я горячего копчения,
[01:26:42 --> 01:26:45]  орехи, из рыбогорячего копчения,
[01:26:45 --> 01:26:46]  ну, естественно, рыбога части,
[01:26:46 --> 01:26:49]  которая водится в водею мог поблизости
[01:26:49 --> 01:26:50]  с вашим производством.
[01:26:50 --> 01:26:51]  На том же, бюджет терпук,
[01:26:51 --> 01:26:52]  лечь,
[01:26:52 --> 01:26:54]  что у нас в судак,
[01:26:54 --> 01:26:55]  нарячего копчения,
[01:26:55 --> 01:26:56]  у нас есть товарищ,
[01:26:56 --> 01:26:57]  которая делает прекрасно,
[01:26:57 --> 01:27:00]  и такое, сам придумал рецепт,
[01:27:02 --> 01:27:05]  берет судака,
[01:27:05 --> 01:27:09]  и форширует его скумбри.
[01:27:09 --> 01:27:10]  Сам в судак рыбовкусное,
[01:27:10 --> 01:27:12]  но, постная,
[01:27:12 --> 01:27:14]  скумбри от потрясающая жирная,
[01:27:14 --> 01:27:18]  иногда найдет колянусь на это очень жирная,
[01:27:18 --> 01:27:19]  бурманская,
[01:27:19 --> 01:27:20]  вообще-то бесформенная,
[01:27:20 --> 01:27:21]  вот,
[01:27:21 --> 01:27:24]  и совсем колянусь на рыбогорном скумбри,
[01:27:24 --> 01:27:26]  я вообще не рекомендал выбрать,
[01:27:26 --> 01:27:27]  потому что она услона,
[01:27:27 --> 01:27:29]  там практически не год на коптербление,
[01:27:29 --> 01:27:30]  вот,
[01:27:30 --> 01:27:30]  но,
[01:27:30 --> 01:27:34]  если там просто немножко избыточная жирности есть,
[01:27:34 --> 01:27:34]  ее можно,
[01:27:34 --> 01:27:36]  ей спокойно можно в форшавать судака,
[01:27:36 --> 01:27:39]  и получается в очень интересный прекрасный продукт.
[01:27:39 --> 01:27:40]  Там товарищ хвастл,
[01:27:40 --> 01:27:41]  с него,
[01:27:41 --> 01:27:42]  он поджет такого,
[01:27:42 --> 01:27:42]  оно путь,
[01:27:42 --> 01:27:44]  пузжется колоссальный популярностью.
[01:27:45 --> 01:27:46]  Вот,
[01:27:46 --> 01:27:47]  значит,
[01:27:47 --> 01:27:48]  ну и,
[01:27:48 --> 01:27:49]  перескористис многоорячего копчения,
[01:27:49 --> 01:27:50]  тоже это без той,
[01:27:50 --> 01:27:50]  и,
[01:27:50 --> 01:27:50]  конечно,
[01:27:50 --> 01:27:51]  вариант.
[01:27:54 --> 01:27:55]  Да,
[01:27:55 --> 01:27:55]  я думаю,
[01:27:55 --> 01:27:56]  что сохраним трансляцию,
[01:27:56 --> 01:27:58]  какие-то хвейлые трансляции
[01:27:58 --> 01:27:59]  выложим
[01:27:59 --> 01:28:00]  в
[01:28:01 --> 01:28:02]  надоцам и
[01:28:02 --> 01:28:03]  в юте.
[01:28:03 --> 01:28:04]  Вот,
[01:28:04 --> 01:28:05]  просьба вы,
[01:28:05 --> 01:28:06]  если
[01:28:06 --> 01:28:07]  кому интересно,
[01:28:07 --> 01:28:08]  какие-то вопросы,
[01:28:08 --> 01:28:08]  вы,
[01:28:08 --> 01:28:09]  вы думаете,
[01:28:09 --> 01:28:10]  что вопросом могут быть
[01:28:10 --> 01:28:11]  интересными другими людям,
[01:28:11 --> 01:28:13]  тоже пишите мне,
[01:28:13 --> 01:28:13]  звоните,
[01:28:13 --> 01:28:15]  мой с телефона есть на сайте,
[01:28:15 --> 01:28:17]  в такие же трансляции,
[01:28:17 --> 01:28:17]  я думаю,
[01:28:17 --> 01:28:18]  будем устраивать
[01:28:18 --> 01:28:19]  периодически,
[01:28:19 --> 01:28:20]  раз месяц как минимум.
[01:28:20 --> 01:28:21]  Вот,
[01:28:21 --> 01:28:22]  буду отвечать
[01:28:22 --> 01:28:23]  на на вашего вопроса,
[01:28:23 --> 01:28:24]  то есть,
[01:28:24 --> 01:28:25]  и у тех,
[01:28:25 --> 01:28:26]  кто пропланирует
[01:28:26 --> 01:28:28]  заняться этим бизнесом,
[01:28:28 --> 01:28:28]  и тем,
[01:28:28 --> 01:28:29]  и те,
[01:28:29 --> 01:28:31]  кто уже коптет,
[01:28:31 --> 01:28:32]  у кого возникает
[01:28:32 --> 01:28:33]  такие вот постоянные вопросы,
[01:28:33 --> 01:28:34]  может быть,
[01:28:34 --> 01:28:35]  мы проведем трансляцию,
[01:28:35 --> 01:28:35]  не по-сессу,
[01:28:35 --> 01:28:36]  копчения,
[01:28:36 --> 01:28:37]  в этой камере,
[01:28:37 --> 01:28:38]  если кому-то
[01:28:38 --> 01:28:39]  интересного продукта,
[01:28:39 --> 01:28:41]  конкретного продукта,
[01:28:41 --> 01:28:41]  вот,
[01:28:41 --> 01:28:43]  прям в реальном времени,
[01:28:43 --> 01:28:43]  покажу,
[01:28:43 --> 01:28:43]  что,
[01:28:43 --> 01:28:45]  как отчего зависит
[01:28:45 --> 01:28:45]  как
[01:28:45 --> 01:28:47]  в работе с камерой,
[01:28:47 --> 01:28:47]  вот,
[01:28:47 --> 01:28:49]  такие момента мы тоже осветим.
[01:28:49 --> 01:28:50]  То же проявляет
[01:28:50 --> 01:28:50]  активность,
[01:28:50 --> 01:28:51]  я буду стараться
[01:28:51 --> 01:28:52]  максимально
[01:28:52 --> 01:28:53]  в вашего активности
[01:28:53 --> 01:28:54]  реагировать.
[01:28:55 --> 01:28:55]  Вот.
[01:29:00 --> 01:29:01]  Так,
[01:29:01 --> 01:29:02]  можно бы обратиться
[01:29:02 --> 01:29:03]  по разработке программ
[01:29:03 --> 01:29:04]  по-местке,
[01:29:04 --> 01:29:06]  не имеет начальную знаний.
[01:29:06 --> 01:29:07]  У нас на сайте есть
[01:29:07 --> 01:29:08]  базовые программы
[01:29:08 --> 01:29:09]  копчения,
[01:29:09 --> 01:29:09]  которые,
[01:29:09 --> 01:29:10]  в общем,
[01:29:10 --> 01:29:11]  можно отталкиваться.
[01:29:11 --> 01:29:12]  Вот,
[01:29:12 --> 01:29:13]  но, естественно,
[01:29:13 --> 01:29:14]  вы будете
[01:29:14 --> 01:29:16]  программы немножко изменять,
[01:29:16 --> 01:29:17]  под ваш
[01:29:17 --> 01:29:19]  под потребности вашего потребителя.
[01:29:19 --> 01:29:21]  Под потребности вашего клиента,
[01:29:21 --> 01:29:22]  потому что в некоторых регионах
[01:29:22 --> 01:29:23]  нравится
[01:29:23 --> 01:29:24]  людям
[01:29:24 --> 01:29:25]  полетелный продукт,
[01:29:25 --> 01:29:26]  нет,
[01:29:26 --> 01:29:27]  я и в регионах,
[01:29:27 --> 01:29:28]  уже были легкие продукты.
[01:29:28 --> 01:29:30]  В Петербурге,
[01:29:30 --> 01:29:31]  в общем,
[01:29:31 --> 01:29:32]  больше заморачивается
[01:29:32 --> 01:29:34]  по-плоуодовой
[01:29:34 --> 01:29:36]  колодичности продукта.
[01:29:36 --> 01:29:37]  Идраго,
[01:29:37 --> 01:29:38]  вы,
[01:29:38 --> 01:29:51]  не,
[01:29:51 --> 01:29:52]  не- не, не.
[01:29:52 --> 01:29:53]  Вот, соответственно,
[01:29:53 --> 01:29:54]  health-性.
[01:29:54 --> 01:29:55]  Беру,
[01:29:55 --> 01:29:56]  в булле,
[01:29:56 --> 01:29:57]  там.
[01:29:57 --> 01:29:58]  Лёвкий ароматк,
[01:29:58 --> 01:30:00]  общение,
[01:30:00 --> 01:30:01]  лёвкий цвет.
[01:30:01 --> 01:30:02]  Вот.
[01:30:02 --> 01:30:04]  В вот-рекапчоны продукт
[01:30:04 --> 01:30:08]  Чало можно по 2,5-6 бешек не постельствовать вешала либо на ключке.
[01:30:08 --> 01:30:14]  Такие рамы есть на стеси еще в шумпура, некоторые манаются шумпура.
[01:30:14 --> 01:30:16]  Гориму вешите, навешала, не ретьмет только шумпура.
[01:30:16 --> 01:30:19]  В шумпура также вешает соусидалут.
[01:30:19 --> 01:30:21]  Вот можно идти на шутчеси.
[01:30:21 --> 01:30:23]  Чаще, шумпура тоже очень так.
[01:30:23 --> 01:30:24]  Хорошая вещь.
[01:30:24 --> 01:30:27]  Еще вот презентную вот отлива, все-таки, что у нас есть.
[01:30:27 --> 01:30:29]  Это называемые евро-сетки.
[01:30:29 --> 01:30:32]  У них вот такой вот рисунок реализованный интересный красивый.
[01:30:32 --> 01:30:36]  Оставляя это очень красивый весум от нас, а в самом продукте.
[01:30:36 --> 01:30:37]  Вот.
[01:30:37 --> 01:30:43]  Ну вот такие расседки рекомендую здесь у нас 1,2 см.
